symbol,date,news_volume,news_tone
BNBUSDT,2017-09-08,1,-0.925925925925926
BNBUSDT,2017-10-02,2,-0.13225371120107998
BNBUSDT,2017-10-04,1,-0.301204819277108
BNBUSDT,2017-10-06,1,0.179211469534051
BNBUSDT,2017-10-16,1,3.0750307503075
BNBUSDT,2017-10-18,1,-0.658616904500549
BNBUSDT,2017-10-23,1,1.8
BNBUSDT,2017-10-24,1,2.89634146341463
BNBUSDT,2017-10-28,1,2.94117647058824
BNBUSDT,2017-10-30,1,-2.39520958083832
BNBUSDT,2017-11-14,1,1.73501577287066
BNBUSDT,2017-12-11,1,2.7992277992278
BNBUSDT,2017-12-12,1,1.59151193633952
BNBUSDT,2017-12-15,1,-0.558659217877095
BNBUSDT,2017-12-18,2,0.0452709205346764
BNBUSDT,2017-12-19,2,0.28119406717911355
BNBUSDT,2017-12-20,5,0.218805475689518
BNBUSDT,2017-12-21,1,0.195858981533296
BNBUSDT,2017-12-26,2,0.2124300920079375
BNBUSDT,2017-12-28,1,1.06796116504854
BNBUSDT,2018-01-02,4,0.47110933945405919
BNBUSDT,2018-01-03,2,1.043693212309841
BNBUSDT,2018-01-06,2,0.31041068972293151
BNBUSDT,2018-01-08,1,-2.14986758062003
BNBUSDT,2018-01-09,1,-0.625651720542231
BNBUSDT,2018-01-11,1,3.80952380952381
BNBUSDT,2018-01-12,1,-1.19453924914676
BNBUSDT,2018-01-16,3,-2.86592439985578
BNBUSDT,2018-01-17,1,2.18978102189781
BNBUSDT,2018-01-18,1,2.72727272727273
BNBUSDT,2018-01-24,2,1.04852876592007
BNBUSDT,2018-02-03,1,0.93167701863354
BNBUSDT,2018-02-04,1,0.940438871473354
BNBUSDT,2018-02-05,1,1.24223602484472
BNBUSDT,2018-02-06,1,-0.635930047694754
BNBUSDT,2018-02-08,1,-1.62907268170426
BNBUSDT,2018-02-16,1,1.0989010989011
BNBUSDT,2018-02-21,1,1.45772594752187
BNBUSDT,2018-02-22,1,1.31500298864316
